"zip","price","sq_ft","lot_size","beds","baths","age","daysOnMarket"
"90044","300000","854","2949","2","1","1924",""
"90066","1101000","1219","5754","3","1","1947","156"
"90065","1190000","2029","5262","3","2","1977","24"
"90002","460000","1558","4878","3","2","1981","56"
"90066","1075000","1001","5626","2","1","1951","35"
"90032","779000","1811","4972","4","3","1961","57"
"90024","520000","900","0.41","1","2","1972","34"
"90046","1600000","1808","3201","3","2","1923","67"
"90042","1550000","3190","0.37","4","3","1929","60"
"90077","11000000","4892","1.16","4","6","2002","22"
"90064","2983400","3930","6501","5","6","2011","179"
"90001","410000","1436","7570","4","2","1913","32"
"90008","400000","936","5200","2","1","1923",""
"90004","1130000","1694","4838","3","1.5","1920","53"
"90032","720000","1199","0.63","2","2","1960","56"
"90044","180000","1152","5988","2","1","1959",""
"90064","2048092","2034","7005","3","3","1931","43"
"90039","1650000","1582","0.27","3","2","1946","62"
"90057","610000","1460","1.08","2","2","1981","67"
"90043","815000","1568","6075","3","2","1931","37"
"90033","460000","1082","3025","2","1","1902","76"
"90046","660000","972","0.34","2","2","1955","40"
"90064","2365000","2994","0.3","3","4.5","1947","72"
"90026","1710000","1884","0.57","4","3","1923","88"
"90042","845000","1480","6074","2","2","1926","85"
"90044","475000","1331","7034","3","2","1940","222"
"90066","1275000","924","5603","2","1","1925","75"
"90012","715000","910","0.44","0","1","1910","31"
"90005","1970000","2100","5843","3","4.5","2017","46"
"90041","755000","968","2906","2","2","1923","103"
"90036","749000","1321","0.25","2","2","1979","64"
"90065","585500","910","6228","2","1","1921","66"
"90049","2270000","2308","7502","3","3","1948","306"
"90010","910000","2109","0.87","2","2","1981",""
"90036","2157574","3498","7000","4","4.5","1928","94"
"90027","1385000","1674","6500","3","1.5","1922","190"
"90036","1895000","2879","6357","4","3","1928","245"
"90016","644000","1186","13.52","2","2","1945",""
"90028","8750000","0","7204","3","1","1920",""
"90069","1193500","1507","0.65","2","2","1963","21"
"90047","320000","1078","5197","2","1","1930",""
"90059","410000","864","6501","3","1","1925","41"
"90024","1600000","1769","5482","3","3","1929","75"
"90025","944000","1781","0.29","3","3","1989","33"
"90077","1800000","2477","0.27","3","3","1956","81"
"90045","855000","1020","5776","3","2","1944","56"
"90068","875000","1735","0.59","3","4.5","0","215"
"90069","650000","741","2.3","1","2","1972","34"
"90038","2995000","6208","6877","0","0","2019","666"
"90041","570000","775","2480","2","1","1940","3003"
"90020","370000","705","0.41","1","1","1963","83"
"90065","1150000","1584","6107","3","4.5","1978","40"
"90045","950000","927","4801","2","1","1948","12"
"90046","2096000","1817","0.68","3","3","1930","3460"
"90012","432500","1136","0.68","3","1.5","1974","231"
"90068","1025000","1240","6408","3","1.5","1947","44"
"90022","445000","2537","6745","0","0","1938","179"
"90019","1150000","2574","6998","4","3","1913","150"
"90065","200000","0","5925","0","0","1962","85"
"90038","1227500","1967","1303","3","4","2014","28"
"90036","15000000","32885","0.77","0","0","0",""
"90003","300000","819","4760","2","1","1927",""
"90068","849000","1735","0.59","3","4.5","2018","206"
"90042","934000","1095","6300","3","2","1924","46"
"90066","943000","1125","5217","3","1","1947","31"
"90004","2400000","3136","9583","4","3","1922","47"
"90002","175000","590","5245","1","1","1924","654"
"90077","1603800","1550","7532","3","2","1939","66"
"90027","1059000","1293","3199","3","2","1921","66"
"90005","710000","1530","0.46","3","2","2006","63"
"90068","420000","905","13.74","1","1","1975","52"
"90048","2750000","2687","6295","3","4.5","1931","63"
"90065","740000","1092","8255","2","1","1922","94"
"90026","849500","774","3126","1","2","1924","41"
"90002","365000","1237","3265","3","2","2004","169"
"90019","978500","1540","5627","4","2","1926","71"
"90004","1225000","1296","7472","4","2","1918","74"
"90047","855000","4118","5912","6","6","1956","7011"
"90065","1100000","2733","7005","4","4","1990","228"
"90008","850000","1217","8454","3","1","1947","199"
"90003","370000","1402","5117","3","2","1939",""
"90003","395000","912","7002","3","1","1921","26"
"90006","800000","1518","0","3","2","2018","182"
"90077","5925000","5690","9783","5","9","2017","58"
"90016","1100000","1755","5993","3","2","1945","63"
"90029","1000000","2040","7500","3","3","1918","66"
"90042","900000","1062","5186","2","1","1922","32"
"90047","525000","1770","6675","3","2","1928","158"
"90016","850000","1210","4807","2","1","1994","208"
"90003","515000","1456","5003","3","3","1923","66"
"90045","1142000","1352","6081","3","2","1945","53"
"90026","1475000","1944","7492","2","3","1920","62"
"90002","600000","2045","0.23","5","4","1952",""
"90068","1485000","1651","7062","4","2","1955","77"
"90019","980000","1910","6003","3","2","1922","31"
"90063","600000","2070","8262","5","3","1924","48"
"90002","600000","2045","0.23","5","4","1952",""
"90019","980000","1910","6003","3","2","1922","31"
"90008","549000","1221","0.33","2","2","1961","66"
"90041","820000","1237","7771","2","1","1922","87"
"90008","549000","1221","0.33","2","2","1961","66"
"90041","1425000","2200","8285","3","3","1962","40"
"90044","527000","2178","6097","3","3","1926","33"
"90018","550000","1608","6503","2","1","1904",""
"90003","330000","814","4660","2","1","1940","84"
"90065","80000","0","3396","0","0","0",""
"90044","485000","987","5571","3","1","1923","46"
"90047","365000","1477","5674","3","2","1939",""
"90064","1200000","1344","6631","3","2","1948","74"
"90069","1185000","1147","9884","2","2","2018","159"
"90068","812500","1616","0.59","2","3","0","94"
"90042","720000","1330","4802","2","1","1908",""
"90068","875000","1735","0.59","3","4.5","2018","76"
"90041","970000","2656","5002","6","3","1904","156"
"90062","711000","1248","5503","3","2","1916","39"
"90024","1025000","1481","6421","2","3","1979","52"
"90024","960000","1711","0.43","2","2","1981","158"
"90003","325000","864","3652","1","1","1920","51"
"90002","475000","1375","0.23","3","2","1953",""
"90065","305000","580","3574","1","1","1922","28"
"90020","690000","1690","1.37","2","2","2009","116"
"90046","1000000","1300","0.7","2","1.5","2000","84"
"90063","633000","2300","3937","5","3","1937","117"
"90031","301500","630","1.23","0","1","2006","91"
"90049","6200000","5332","8235","4","6","2018","92"
"90011","778000","3506","5194","0","0","2015","74"
"90041","965000","1533","7127","3","2","1950","62"
"90031","455000","808","1815","2","2","1907","64"
"90044","400000","1440","4020","0","0","1949","114"
"90018","775000","2067","5823","0","0","1912","141"
"90044","535000","2375","5625","0","0","1943","94"
"90033","625000","1872","7426","0","0","1997","71"
"90043","610000","1679","4802","3","2","1922","92"
"90001","845000","3460","5102","0","0","2018","112"
"90020","390000","649","1.01","1","1","1986","35"
"90022","465000","1324","5574","0","0","1925","139"
"90011","495000","1470","4501","4","2","1912","174"
"90025","4300000","8302","8233","0","0","1964","79"
"90044","785000","3563","6301","0","0","2011","338"
"90019","1455000","1906","5288","3","3","1940","39"
"90062","490000","1594","5742","3","1","1910","76"
"90065","1193200","1328","0.26","3","1.5","1963","25"
"90019","2826000","8768","9295","0","0","0",""
"90044","350000","1342","6119","3","1","1947",""
"90016","770000","1350","6240","3","1","1935","50"
"90018","759000","1152","4528","3","2","1923","42"
"90062","575000","1136","4932","3","2","1922","363"
"90044","400000","944","4828","3","2","1923","48"
"90044","365000","1167","4120","2","1","1928","170"
"90068","825000","990","2306","2","2","1924","151"
"90063","350000","840","4648","1","1","1940","189"
"90006","1015000","4414","5855","4","4","1921","38"
"90043","760000","1091","6876","2","1","1938","32"
"90042","920000","888","9984","2","1","1938","16"
"90002","210000","832","4087","1","1","1923","165"
"90004","650000","1017","5012","3","1","1923","69"
"90026","1675000","916","4803","2","1","1938","2506"
"90036","1765000","5458","6500","8","8","1928","86"
"90019","820000","1244","6141","2","1","1918","50"
"90019","720000","1344","4960","5","3","1922","42"
"90044","400000","1380","8452","2","1","1932",""
"90043","1349000","3482","0.24","3","3","1928","69"
"90064","1925000","2968","5400","5","5","2019","77"
"90001","409999","900","4869","2","1","1928","36"
"90045","850000","1343","4800","3","2","1944","3919"
"90068","1175000","2464","2673","4","4","1924","4943"
"90077","8200000","6880","0.46","4","7.5","2018","71"
"90064","1166000","984","5804","3","2","1945","43"
"90064","1420000","1351","6372","3","2","1950","43"
"90059","230000","432","4352","1","1","1924","46"
"90049","1399000","2296","0.34","3","3","1979","39"
"90019","965000","1767","0","3","3","2019","89"
